68	2
-0.30588	-0.19225	1.00000
-0.39804	0.03436	1.00000
0.93836	0.01243	0.00000
0.01671	-0.40424	1.00000
0.46025	0.01243	1.00000
0.76555	0.50219	0.00000
0.63265	-0.03061	0.00000
-0.83007	0.31213	0.00000
0.73675	-0.18494	1.00000
0.32200	0.58260	1.00000
-0.04666	-0.57968	0.00000
0.67339	-0.53582	1.00000
-0.30012	0.02705	1.00000
-0.50749	0.90424	0.00000
0.85196	-0.36769	0.00000
0.63882	-0.24342	1.00000
-0.46717	-0.13377	0.00000
-0.09274	0.68494	1.00000
0.28744	-0.76974	0.00000
0.35081	-0.57968	0.00000
-0.26555	0.96272	1.00000
0.64459	-0.14108	1.00000
0.28744	1.08700	0.00000
0.05703	0.91886	0.00000
-0.69758	0.68494	0.00000
0.67339	0.64108	0.00000
-0.54781	0.70687	0.00000
-0.16187	0.80190	1.00000
0.48329	-0.18494	1.00000
0.13191	-0.51389	1.00000
-0.48445	0.99927	0.00000
0.22984	-0.41155	1.00000
-0.13306	-0.44810	0.00000
-0.59965	-0.41886	0.00000
-0.72638	-0.08260	0.00000
-0.59389	0.00512	1.00000
-0.39228	-0.25804	0.00000
-0.21947	-0.01681	1.00000
-0.49021	-0.30190	0.00000
-0.72062	0.53874	0.00000
0.51786	-0.59430	0.00000
-0.08122	1.10890	0.00000
0.72523	0.44371	1.00000
0.20104	-0.60161	1.00000
-0.66302	-0.21418	0.00000
0.32200	0.69225	1.00000
-0.11578	-0.39693	1.00000
-0.74366	-0.25804	0.00000
-0.75518	0.29020	0.00000
-0.20795	0.17325	1.00000
0.39689	0.82383	0.00000
-0.06394	-0.18494	1.00000
0.29896	0.61915	0.00000
0.82316	0.66301	0.00000
-0.28859	-0.06067	0.00000
0.46601	-0.41886	0.00000
-0.10426	0.99196	0.00000
-0.40956	-0.41155	0.00000
-0.13882	0.54605	1.00000
0.08583	-0.75512	0.00000
-0.15035	-0.36769	0.00000
0.50634	0.75804	0.00000
0.52938	-0.52120	1.00000
0.05127	0.69956	1.00000
-0.51325	0.46564	1.00000
-0.38076	0.91886	0.00000
0.14919	-0.57968	0.00000
-0.37500	0.50219	1.00000
